[19/04/2021|20:07:34]  16  | Вьюн | 26 гр | 26 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:07:59]  38  | Карась золотой | 704 гр | 704 | Поймана "Убежище:Затон" на Перловка (Поплавок)
[19/04/2021|20:08:06]  16  | Вьюн | 140 гр | 140 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:08:25]  16  | Вьюн | 152 гр | 152 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:08:49]  38  | Карась золотой | 799 гр | 799 | Поймана "Убежище:Затон" на Перловка (Поплавок)
[19/04/2021|20:09:37]  38  | Карась золотой | 1.741 кг | 1741 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:10:02]  38  | Карась золотой | 1.1 кг | 1100 | Поймана "Убежище:Затон" на Перловка (Поплавок)
[19/04/2021|20:10:35]  16  | Вьюн | 150 гр | 150 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:11:27]  16  | Вьюн | 23 гр | 23 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:12:24]  38  | Карась золотой | 2.147 кг | 2147 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:13:36]  66  | Окунь | 342 гр | 342 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:27:17]  16  | Вьюн | 128 гр | 128 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:28:09]  30  | Ёрш | 148 гр | 148 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:30:18]  16  | Вьюн | 61 гр | 61 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:31:26]  16  | Вьюн | 20 гр | 20 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:32:06]  37  | Карась | 1.93 кг | 1930 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:33:15]  16  | Вьюн | 89 гр | 89 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:33:40]  16  | Вьюн | 20 гр | 20 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:35:07]  16  | Вьюн | 121 гр | 121 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:36:41]  10  | Бычок | 41 гр | 41 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:36:53]  84  | Рак узкопалый | 46 гр | 46 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:38:01]  38  | Карась золотой | 2.136 кг | 2136 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:38:40]  30  | Ёрш | 71 гр | 71 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:38:51]  47  | Красноперка | 258 гр | 258 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:39:27]  10  | Бычок | 11 гр | 11 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:40:10]  84  | Рак узкопалый | 272 гр | 272 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:40:49]  47  | Красноперка | 727 гр | 727 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:41:55]  84  | Рак узкопалый | 54 гр | 54 | Поймана "Убежище:Затон" на Опарыш (Поплавок)
[19/04/2021|20:43:03]  10  | Бычок | 60 гр | 60 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:43:55]  30  | Ёрш | 128 гр | 128 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:44:36]  30  | Ёрш | 84 гр | 84 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:45:01]  38  | Карась золотой | 1.486 кг | 1486 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:45:23]  30  | Ёрш | 181 гр | 181 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:46:11]  17  | Винт | 62 гр | 62 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:47:27]  16  | Вьюн | 46 гр | 46 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:48:01]  10  | Бычок | 61 гр | 61 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:48:32]  38  | Карась золотой | 360 гр | 360 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:48:53]  30  | Ёрш | 101 гр | 101 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:49:12]  16  | Вьюн | 26 гр | 26 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:49:45]  38  | Карась золотой | 503 гр | 503 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:50:17]  16  | Вьюн | 27 гр | 27 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:50:41]  30  | Ёрш | 31 гр | 31 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:51:01]  84  | Рак узкопалый | 34 гр | 34 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:51:15]  16  | Вьюн | 76 гр | 76 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:51:27]  16  | Вьюн | 30 гр | 30 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:52:16]  38  | Карась золотой | 1.335 кг | 1335 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:52:28]  10  | Бычок | 90 гр | 90 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:52:51]  38  | Карась золотой | 251 гр | 251 | Поймана "Убежище:Затон" на Червь (Поплавок)
